 timestamp,city,temperature_c,humidity,pressure,wind_speed,weather
2025-10-14T20:10:05.303101Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:10.470570Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:15.600335Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:20.747489Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:25.893581Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:31.048286Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:36.185743Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:41.343438Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:46.498821Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:51.651803Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:10:56.792738Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:01.926305Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:07.070451Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:12.218809Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:17.358426Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:22.532028Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:27.693179Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:32.842170Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:37.988018Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:43.127018Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:48.328083Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:53.459326Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:11:58.591868Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:03.726277Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:08.864527Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:14.051369Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:19.220132Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:24.389250Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:29.547901Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:34.704593Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:39.864586Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:45.035633Z,Cairo,23.42,60,1017,5.66,scattered clouds
2025-10-14T20:12:50.221660Z,Cairo,23.42,60,1017,5.14,scattered clouds
2025-10-14T20:12:55.412724Z,Cairo,23.42,60,1017,5.14,scattered clouds
2025-10-14T20:13:00.581204Z,Cairo,23.42,60,1017,5.14,scattered clouds
2025-10-14T20:13:05.755343Z,Cairo,23.42,60,1017,5.14,scattered clouds
